"model","tau","epsilon","logl","BIC","AIC"
"ns_kappa_full",0.548712160710639,0.379289065061882,-4441.66701014948,8899.04510965478,8887.33402029895
"ns_kappa_noAct",0.42470854812046,0.213069160351532,-4483.75271629202,8983.21652193987,8971.50543258404
"ns_product_full",0.313631736768968,0.381664566684183,-4337.81168908338,8691.33446752259,8679.62337816676
"ns_product_noAct",0.356627714109806,0.209163127599949,-4351.14206323147,8717.99521581877,8706.28412646294
"ns_average_full",0.162813837341866,0.382397753694997,-4338.00119930512,8691.71348796608,8680.00239861025
"ns_average_noAct",0.165931831139047,0.352073237648486,-4338.54247029694,8692.79602994971,8681.08494059388
"ns_necessity_full",0.318567730170869,0.381286665458375,-4340.87285888331,8697.45680712245,8685.74571776662
"ns_necessity_noAct",0.358290193757545,0.208251312567183,-4352.29493736678,8720.30096408939,8708.58987473356
"ns_sufficiency_full",0.455619279753814,0.379147274349287,-4505.881825607,9027.47474056984,9015.76365121401
"ns_sufficiency_noAct",0.629990953975296,0.212483912806076,-4723.39332514125,9462.49773963833,9450.7866502825
"baseline",NA,NA,-5364.95917753397,10729.918355068,10729.918355068
